159  110.59880768783593  0.31276036276849878  189.75366894124073	159  1.88318e-05  0.00369708  2.08368e-05
160  111.01318125841516  0.30562290190406627  172.51059886411889	160  1.80464e-05  0.00434635  2.58722e-05
161  111.48084620147068  0.29794298344822129  155.6895344722634	161  1.74916e-05  0.00513184  3.31033e-05
162  111.93103360189136  0.29095717252110809  141.84880139147268	162  1.71909e-05  0.00593338  4.18546e-05
163  112.37416585693413  0.28447148568129482  129.93000500921994	163  1.70543e-05  0.00675951  5.24939e-05
164  112.81112898074919  0.27827406230248858  119.4135397485789	164  1.70348e-05  0.00760375  6.56301e-05
165  113.24443120202395  0.27240938500584239  110.15137402026834	165  1.71e-05  0.00846421  8.15168e-05
166  113.67475403822175  0.26675448433803944  101.90180740292085	166  1.72281e-05  0.00933535  0.000100832
167  114.10518599967344  0.26130351031854437  94.429915975801975	167  1.74039e-05  0.0102174  0.000123945
168  114.52834844587518  0.25604400465606514  87.766505252194904	168  1.76133e-05  0.0110871  0.00015179
169  114.95558668422991  0.25116881128975838  81.887334338767275	169  1.78516e-05  0.0119655  0.000183519
170  115.39768677833757  0.24625769192175356  76.353809465781751	170  1.81196e-05  0.0128653  0.000221365
171  115.8600444970733  0.24136916265477557  71.172053577834859	171  1.84172e-05  0.0137893  0.000266497
172  116.3269664116616  0.23666197602011085  66.47381644557953	172  1.87306e-05  0.0146972  0.000317361
173  116.79938332847028  0.23208033105581938  62.138501753331447	173  1.90567e-05  0.0155818  0.000373724
174  117.27664058572586  0.22764040798860952  58.180242638262499	174  1.9392e-05  0.0164323  0.000435002
175  117.86926913085208  0.22241296043673092  53.804835817632473	175  1.98128e-05  0.0174172  0.000515584
176  118.52576161234406  0.21707995006980477  49.538039934269875	176  2.02797e-05  0.0184125  0.000607412
177  119.19790645508679  0.21187158902359784  45.692131467158738	177  2.07539e-05  0.0193193  0.000699742
178  119.88603698542993  0.20687585577503922  42.24740448104297	178  2.12312e-05  0.0201281  0.000789177
179  120.59520542552616  0.20209608129080839  39.120447022591499	179  2.17108e-05  0.0208416  0.000873319
180  121.3293484231212  0.19746466311814626  36.2384550439048	180  2.21907e-05  0.0214628  0.000949961
181  122.16171950597408  0.19234367351706103  33.282626736821499	181  2.27077e-05  0.0220318  0.00102145
182  122.99472528748407  0.18769057977699358  30.728777514777473	182  2.31942e-05  0.0224795  0.00107772
183  123.84922236226478  0.18328776460484644  28.506054125594336	183  2.36607e-05  0.0228405  0.00112237
184  124.72597949438078  0.17909222854114792  26.425049367553761	184  2.41038e-05  0.0231292  0.00115674
185  125.59415908399936  0.17487365225471224  24.530913377050176	185  2.45016e-05  0.0233455  0.00118034
186  126.51776602083642  0.17077071865111126  22.729964777009528	186  2.48835e-05  0.0235167  0.00119703
187  127.46924241208772  0.16671207342737446  21.085822889287758	187  2.52375e-05  0.0236463  0.00120793
188  128.73583465076217  0.16162490847389033  19.111968885939831	188  2.56537e-05  0.0237646  0.00121588
189  130.01343774038324  0.15663056409558621  17.314841619454558	189  2.60207e-05  0.023841  0.00121946
190  131.29085117007048  0.15192428776094252  15.738102229576839	190  2.63471e-05  0.0238891  0.0012208
191  132.56812553590103  0.14754293075157618  14.353061433756228	191  2.66452e-05  0.0239196  0.00122117
192  133.84528835354627  0.14321906896122999  13.106568053287276	192  2.69222e-05  0.0239389  0.00122116
193  135.12236004249644  0.13908184194289105  11.964273294115126	193  2.7184e-05  0.0239509  0.00122106
194  136.39935842893334  0.13505919556435361  10.917457414374619	194  2.74338e-05  0.0239582  0.00122098
195  137.6762985949629  0.13114835829916913  9.962576995382225	195  2.76735e-05  0.0239627  0.00122095
196  139.07176595165129  0.12707579617792089  9.0371071083436476	196  2.79241e-05  0.0239656  0.00122096
197  140.74972675575464  0.12235697830963507  8.0450200183189846	197  2.82086e-05  0.0239676  0.001221
198  142.42708747433201  0.11783123760935113  7.1694965473376913	198  2.84703e-05  0.0239685  0.00122105
199  144.10365785162313  0.11353662010987606  6.3961382020320228	199  2.87039e-05  0.023969  0.00122109
200  145.85950417902262  0.10926939355660188  5.6879728096635196	200  2.89153e-05  0.0239693  0.00122112
201  147.66867706322228  0.10504795449804677  5.0541316944733738	201  2.90958e-05  0.0239694  0.00122114
202  149.47808389176836  0.10113563975545507  4.505278741887313	202  2.92403e-05  0.0239695  0.00122116
203  151.50540810812262  0.097092789200397239  3.9765731326780793	203  2.93643e-05  0.0239695  0.00122117
204  153.72357031135692  0.092923666666342816  3.4816781862429158	204  2.94619e-05  0.0239695  0.00122117
205  155.94172845135193  0.089023433177969999  3.0598592320140887	205  2.95291e-05  0.0239695  0.00122118
206  158.31567882178209  0.085140668833397215  2.6740151498210394	206  2.95766e-05  0.0239695  0.00122118
207  161.03156463794215  0.081003585811017728  2.3017116450774657	207  2.961e-05  0.0239695  0.00122118
